stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding,line_id
SH020L12000_1-TLAHUAC,Tláhuac,19.28602,-99.0142,SH020L12000_1-TLAHUAC,1,SH020L12000_1
SH020L12000_1-TLALTENCO,Tlaltenco,19.29435,-99.02403,SH020L12000_1-TLALTENCO,1,SH020L12000_1
SH020L12000_1-ZAPOTITLAN,Zapotitlán,19.29666,-99.03431,SH020L12000_1-ZAPOTITLAN,1,SH020L12000_1
SH020L12000_1-NOPALERA,Nopalera,19.29996,-99.04599,SH020L12000_1-NOPALERA,1,SH020L12000_1
SH020L12000_1-OLIVOS,Olivos,19.30432,-99.05951,SH020L12000_1-OLIVOS,1,SH020L12000_1
SH020L12000_1-TEZONCO,Tezonco,19.30631,-99.06527,SH020L12000_1-TEZONCO,1,SH020L12000_1
SH020L12000_1-PERIFERICOOTE,Periférico Oriente,19.31761,-99.07451,SH020L12000_1-PERIFERICOOTE,1,SH020L12000_1
SH020L12000_1-CALLE11,Calle 11,19.32047,-99.08587,SH020L12000_1-CALLE11,1,SH020L12000_1
SH020L12000_1-LOMASESTRELLA,Lomas Estrella,19.32215,-99.09575,SH020L12000_1-LOMASESTRELLA,1,SH020L12000_1
SH020L12000_1-SANANDRESTO,San Andrés Tomatlán,19.32815,-99.10452,SH020L12000_1-SANANDRESTO,1,SH020L12000_1
SH020L12000_1-CULHUACAN,Culhuacán,19.33685,-99.10896,SH020L12000_1-CULHUACAN,1,SH020L12000_1
SH020L12000_1-ATLALILCO,Atlalilco,19.35275,-99.10624,SH020L12000_1-ATLALILCO,1,SH020L12000_1
SH020L12000_1-MEXICALTZINGO,Mexicaltzingo,19.35776,-99.12314,SH020L12000_1-MEXICALTZINGO,1,SH020L12000_1
SH020L12000_1-ERMITA,Ermita,19.35982,-99.14163,SH020L12000_1-ERMITA,1,SH020L12000_1
SH020L12000_1-EJECENTRAL,Eje Central,19.36134,-99.15142,SH020L12000_1-EJECENTRAL,1,SH020L12000_1
SH020L12000_1-PARQUEVENADOS,Parque de los Venados,19.37066,-99.15872,SH020L12000_1-PARQUEVENADOS,1,SH020L12000_1
SH020L12000_1-ZAPATA,Zapata,19.37085,-99.1656,SH020L12000_1-ZAPATA,1,SH020L12000_1
SH020L12000_1-HOSPITAL20,Hospital 20 de Noviembre,19.37201,-99.17088,SH020L12000_1-HOSPITAL20,1,SH020L12000_1
SH020L12000_1-INSURGENTESSUR,Insurgentes Sur,19.37355,-99.17825,SH020L12000_1-INSURGENTESSUR,1,SH020L12000_1
SH020L12000_1-MIXCOAC,Mixcoac,19.3757,-99.18673,SH020L12000_1-MIXCOAC,1,SH020L12000_1
SH0200LB000_1-BUENAVISTA,Buenavista,19.44619,-99.15235,SH0200LB000_1-BUENAVISTA,1,SH0200LB000_1
SH0200LB000_1-GUERRERO,Guerrero,19.44514,-99.14614,SH0200LB000_1-GUERRERO,2,SH0200LB000_1
SH0200LB000_1-GARIBALDI,Garibaldi y Lagunilla,19.44389,-99.13787,SH0200LB000_1-GARIBALDI,2,SH0200LB000_1
SH0200LB000_1-LAGUNILLA,Lagunilla,19.44322,-99.13023,SH0200LB000_1-LAGUNILLA,2,SH0200LB000_1
SH0200LB000_1-TEPITO,Tepito,19.44279,-99.12407,SH0200LB000_1-TEPITO,2,SH0200LB000_1
SH0200LB000_1-MORELOS,Morelos,19.43917,-99.11957,SH0200LB000_1-MORELOS,2,SH0200LB000_1
SH0200LB000_1-SANLAZARO,San Lázaro,19.43237,-99.11296,SH0200LB000_1-SANLAZARO,1,SH0200LB000_1
SH0200LB000_1-RFLORESMAGON,Ricardo Flores Magón,19.43657,-99.10371,SH0200LB000_1-RFLORESMAGON,2,SH0200LB000_1
SH0200LB000_1-ROMERORUBIO,Romero Rubio,19.44084,-99.0942,SH0200LB000_1-ROMERORUBIO,2,SH0200LB000_1
SH0200LB000_1-OCEANIA,Oceanía,19.44569,-99.08722,SH0200LB000_1-OCEANIA,2,SH0200LB000_1
SH0200LB000_1-DPVOOCEANIA,Deportivo Oceanía,19.45101,-99.07933,SH0200LB000_1-DPVOOCEANIA,2,SH0200LB000_1
SH0200LB000_1-BOSQUEARAGON,Bosque de Aragón,19.45809,-99.06929,SH0200LB000_1-BOSQUEARAGON,2,SH0200LB000_1
SH0200LB000_1-VILLAARAGON,Villa de Aragón,19.46167,-99.06138,SH0200LB000_1-VILLAARAGON,1,SH0200LB000_1
SH0200LB000_1-NEZAHUALCO,Nezahualcóyotl,19.47289,-99.05461,SH0200LB000_1-NEZAHUALCO,2,SH0200LB000_1
SH0200LB000_1-IMPULSORA,Impulsora,19.48575,-99.04896,SH0200LB000_1-IMPULSORA,2,SH0200LB000_1
SH0200LB000_1-RIOREMEDIOS,Río de los Remedios,19.49069,-99.04679,SH0200LB000_1-RIOREMEDIOS,2,SH0200LB000_1
SH0200LB000_1-MUZQUIZ,Múzquiz,19.50149,-99.04207,SH0200LB000_1-MUZQUIZ,2,SH0200LB000_1
SH0200LB000_1-ECATEPEC,Ecatepec,19.51513,-99.03607,SH0200LB000_1-ECATEPEC,1,SH0200LB000_1
SH0200LB000_1-OLIMPICA,Olímpica,19.52135,-99.03334,SH0200LB000_1-OLIMPICA,2,SH0200LB000_1
SH0200LB000_1-PLAZAARAGON,Plaza Aragón,19.52848,-99.03018,SH0200LB000_1-PLAZAARAGON,1,SH0200LB000_1
SH0200LB000_1-CIUDADAZTECA,Ciudad Azteca,19.53451,-99.02751,SH0200LB000_1-CIUDADAZTECA,1,SH0200LB000_1
SH0200LA000_1-LAPAZ,La Paz,19.35056,-98.96094,SH0200LA000_1-LAPAZ,1,SH0200LA000_1
SH0200LA000_1-LOSREYES,Los Reyes,19.35904,-98.97687,SH0200LA000_1-LOSREYES,2,SH0200LA000_1
SH0200LA000_1-STAMARTA,Santa Marta,19.36031,-98.99518,SH0200LA000_1-STAMARTA,1,SH0200LA000_1
SH0200LA000_1-ACATITLA,Acatitla,19.36472,-99.00567,SH0200LA000_1-ACATITLA,2,SH0200LA000_1
SH0200LA000_1-PENONVIEJO,Penón Viejo,19.37331,-99.01705,SH0200LA000_1-PENONVIEJO,2,SH0200LA000_1
SH0200LA000_1-GUELATAO,Guelatao,19.38515,-99.03566,SH0200LA000_1-GUELATAO,2,SH0200LA000_1
SH0200LA000_1-TEPALCATES,Tepalcates,19.39128,-99.04633,SH0200LA000_1-TEPALCATES,1,SH0200LA000_1
SH0200LA000_1-CANALSANJUAN,Canal de San Juan,19.39876,-99.05942,SH0200LA000_1-CANALSANJUAN,2,SH0200LA000_1
SH0200LA000_1-AGRICOLA,Agrícola Oriental,19.40462,-99.06957,SH0200LA000_1-AGRICOLA,2,SH0200LA000_1
SH0200LA000_1-PANTITLAN,Pantitlán,19.4153,-99.07192,SH0200LA000_1-PANTITLAN,1,SH0200LA000_1
SH0200L9000_1-PANTITLAN,Pantitlán,19.41535,-99.07221,SH0200L9000_1-PANTITLAN,1,SH0200L9000_1
SH0200L9000_1-PUEBLA,Puebla,19.40719,-99.08239,SH0200L9000_1-PUEBLA,2,SH0200L9000_1
SH0200L9000_1-CIUDADDVA,Ciudad Deportiva,19.40843,-99.09125,SH0200L9000_1-CIUDADDVA,1,SH0200L9000_1
SH0200L9000_1-VELODROMO,Velódromo,19.40854,-99.10316,SH0200L9000_1-VELODROMO,1,SH0200L9000_1
SH0200L9000_1-MIXIUHCA,Mixiuhca,19.40837,-99.11297,SH0200L9000_1-MIXIUHCA,2,SH0200L9000_1
SH0200L9000_1-JAMAICA,Jamaica,19.4091,-99.12235,SH0200L9000_1-JAMAICA,2,SH0200L9000_1
SH0200L9000_1-CHABACANO,Chabacano,19.40851,-99.13397,SH0200L9000_1-CHABACANO,1,SH0200L9000_1
SH0200L9000_1-LAZAROCAR,Lázaro Cárdenas,19.40722,-99.14463,SH0200L9000_1-LAZAROCAR,2,SH0200L9000_1
SH0200L9000_1-CENTROMEDICO,Centro Médico,19.40656,-99.15603,SH0200L9000_1-CENTROMEDICO,1,SH0200L9000_1
SH0200L9000_1-CHILPANCINGO,Chilpancingo,19.40593,-99.16852,SH0200L9000_1-CHILPANCINGO,2,SH0200L9000_1
SH0200L9000_1-PATRIOTISMO,Patriotismo,19.40611,-99.17892,SH0200L9000_1-PATRIOTISMO,2,SH0200L9000_1
SH0200L9000_1-TACUBAYA,Tacubaya,19.40146,-99.18776,SH0200L9000_1-TACUBAYA,2,SH0200L9000_1
SH0200L8000_1-CONST1917,Constitución de 1917,19.34597,-99.0638,SH0200L8000_1-CONST1917,1,SH0200L8000_1
SH0200L8000_1-UAM-I,UAM-I,19.35106,-99.07482,SH0200L8000_1-UAM-I,2,SH0200L8000_1
SH0200L8000_1-CERROESTRELLA,Cerro de la Estrella,19.35605,-99.08562,SH0200L8000_1-CERROESTRELLA,2,SH0200L8000_1
SH0200L8000_1-IZTAPALAPA,Iztapalapa,19.35783,-99.09345,SH0200L8000_1-IZTAPALAPA,2,SH0200L8000_1
SH0200L8000_1-ATLALILCO,Atlalilco,19.35608,-99.10131,SH0200L8000_1-ATLALILCO,1,SH0200L8000_1
SH0200L8000_1-ESCUADRON,Escuadrón 201,19.36484,-99.10948,SH0200L8000_1-ESCUADRON,2,SH0200L8000_1
SH0200L8000_1-ACULCO,Aculco,19.37321,-99.1077,SH0200L8000_1-ACULCO,2,SH0200L8000_1
SH0200L8000_1-APATLACO,Apatlaco,19.3791,-99.10949,SH0200L8000_1-APATLACO,2,SH0200L8000_1
SH0200L8000_1-IZTACALCO,Iztacalco,19.38829,-99.11211,SH0200L8000_1-IZTACALCO,1,SH0200L8000_1
SH0200L8000_1-COYUYA,Coyuya,19.3983,-99.11348,SH0200L8000_1-COYUYA,1,SH0200L8000_1
SH0200L8000_1-STAANITA,Santa Anita,19.40412,-99.12066,SH0200L8000_1-STAANITA,2,SH0200L8000_1
SH0200L8000_1-LAVIGA,La Viga,19.40671,-99.12627,SH0200L8000_1-LAVIGA,2,SH0200L8000_1
SH0200L8000_1-CHABACANO,Chabacano,19.41021,-99.13375,SH0200L8000_1-CHABACANO,1,SH0200L8000_1
SH0200L8000_1-OBRERA,Obrera,19.41324,-99.14404,SH0200L8000_1-OBRERA,2,SH0200L8000_1
SH0200L8000_1-DOCTORES,Doctores,19.42155,-99.14319,SH0200L8000_1-DOCTORES,2,SH0200L8000_1
SH0200L8000_1-SALTOAGUA,Salto del Agua,19.42772,-99.14185,SH0200L8000_1-SALTOAGUA,2,SH0200L8000_1
SH0200L8000_1-SANJUANLETRAN,San Juan de Letrán,19.43158,-99.14125,SH0200L8000_1-SANJUANLETRAN,2,SH0200L8000_1
SH0200L8000_1-BELLASARTES,Bellas Artes,19.43701,-99.14042,SH0200L8000_1-BELLASARTES,2,SH0200L8000_1
SH0200L8000_1-GARIBALDI,Garibaldi y Lagunilla,19.444,-99.139,SH0200L8000_1-GARIBALDI,2,SH0200L8000_1
SH0200L7000_1-BARRANCA,Barranca del Muerto,19.3615,-99.18926,SH0200L7000_1-BARRANCA,2,SH0200L7000_1
