service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
14741,1,1,1,1,1,0,0,20180101,20191231
16092,1,1,1,1,1,0,0,20180101,20191231
16203,0,0,0,0,0,1,0,20180101,20191231
16233,0,0,0,0,0,0,1,20180101,20191231
26656,1,1,1,1,1,0,0,20180101,20191231
26949,0,0,0,0,0,0,1,20180101,20191231
28960,0,0,0,0,0,0,1,20180101,20191231
36238,1,1,1,1,1,0,0,20180101,20191231
36384,0,0,0,0,0,1,0,20180101,20191231
36479,1,1,1,1,1,0,0,20180101,20191231
36489,0,0,0,0,0,1,0,20180101,20191231
38253,1,1,1,1,1,1,1,20180101,20191231
38274,1,1,1,1,1,1,1,20180101,20191231
38501,0,0,0,0,0,1,0,20180101,20191231
38504,0,0,0,0,0,0,1,20180101,20191231
38742,1,1,1,1,1,0,0,20180101,20191231
38754,1,1,1,1,1,0,0,20180101,20191231
38824,0,0,0,0,0,1,0,20180101,20191231
38827,0,0,0,0,0,0,1,20180101,20191231
38832,0,0,0,0,0,1,0,20180101,20191231
38835,0,0,0,0,0,0,1,20180101,20191231
38881,1,1,1,1,1,0,0,20180101,20191231
39389,0,0,0,0,0,0,1,20180101,20191231
40064,1,1,1,1,1,0,0,20180101,20191231
40074,1,1,1,1,1,1,1,20180101,20191231
40450,0,0,1,1,1,0,0,20180101,20191231
40622,1,1,1,1,1,1,1,20180101,20191231
41882,1,1,1,1,0,0,0,20180101,20191231
41883,0,0,0,0,1,1,0,20180101,20191231
41886,0,0,0,0,0,0,1,20180101,20191231
41987,1,1,1,0,0,0,0,20180101,20191231
41989,0,0,0,1,0,0,0,20180101,20191231
41994,0,0,0,1,0,0,0,20180101,20191231
41996,0,0,0,0,1,1,0,20180101,20191231
41998,0,0,0,0,0,0,1,20180101,20191231
42083,0,0,0,0,1,0,0,20180101,20191231
42085,0,0,0,0,0,1,0,20180101,20191231
42138,0,0,0,0,1,1,0,20180101,20191231
42571,1,1,1,1,1,0,0,20180101,20191231
42651,1,0,0,0,0,0,0,20180101,20191231
42652,0,1,0,0,0,0,0,20180101,20191231
42653,1,0,0,0,0,0,0,20180101,20191231
42664,1,1,1,1,1,0,0,20180101,20191231
42665,1,1,1,1,1,0,0,20180101,20191231
42666,1,1,1,1,1,0,0,20180101,20191231
42842,1,1,1,1,1,1,1,20180101,20191231
42843,1,1,1,1,1,1,1,20180101,20191231
42844,1,1,1,1,1,1,1,20180101,20191231
42845,1,1,1,1,1,1,1,20180101,20191231
42846,1,1,1,1,1,1,1,20180101,20191231
42847,1,1,1,1,1,1,1,20180101,20191231
42848,1,1,1,1,1,1,1,20180101,20191231
42849,1,1,1,1,1,1,1,20180101,20191231
42850,1,1,1,1,1,1,1,20180101,20191231
42851,1,0,0,0,0,1,1,20180101,20191231
42852,1,1,1,1,1,1,1,20180101,20191231
42853,1,1,1,1,1,1,1,20180101,20191231
42854,1,1,1,1,1,1,1,20180101,20191231
42855,1,1,1,1,1,1,1,20180101,20191231
42856,1,1,1,1,1,1,1,20180101,20191231
42857,1,1,1,1,1,1,1,20180101,20191231
42858,1,1,1,1,1,1,1,20180101,20191231
42859,1,1,1,1,1,1,1,20180101,20191231
42860,1,1,1,1,1,0,0,20180101,20191231
42861,1,1,1,1,1,1,1,20180101,20191231
42864,1,1,1,1,1,0,0,20180101,20191231
42894,1,1,1,1,1,0,0,20180101,20191231
42895,1,1,1,1,1,0,0,20180101,20191231
42898,0,0,0,0,0,1,1,20180101,20191231
132182,1,1,1,1,1,0,0,20180101,20191231
132183,0,0,0,0,0,0,1,20180101,20191231
132788,1,1,1,1,1,1,0,20180101,20191231
132829,0,0,0,0,1,1,1,20180101,20191231
132830,0,0,0,0,1,1,1,20180101,20191231
132831,0,0,0,0,1,1,1,20180101,20191231
134242,1,0,0,0,0,1,1,20180101,20191231
135516,0,0,0,0,0,1,1,20180101,20191231
135517,0,0,0,0,0,1,1,20180101,20191231
135518,0,0,0,0,0,1,1,20180101,20191231
135520,1,1,1,1,1,1,0,20180101,20191231
135521,0,0,0,0,0,0,1,20180101,20191231
135522,1,1,1,1,1,1,0,20180101,20191231
135523,0,0,0,0,0,0,1,20180101,20191231
135524,1,1,1,1,1,1,0,20180101,20191231
135525,0,0,0,0,0,0,1,20180101,20191231
135526,1,1,1,1,1,1,0,20180101,20191231
135527,0,0,0,0,0,0,1,20180101,20191231
135528,1,1,1,1,1,0,0,20180101,20191231
135529,0,0,0,0,0,1,0,20180101,20191231
135530,0,0,0,0,0,0,1,20180101,20191231
135531,1,1,1,1,1,0,0,20180101,20191231
135532,0,0,0,0,0,1,0,20180101,20191231
135533,0,0,0,0,0,0,1,20180101,20191231
135534,1,1,1,1,1,0,0,20180101,20191231
135535,1,1,1,1,1,0,0,20180101,20191231
135536,0,0,0,0,0,0,1,20180101,20191231
135537,0,0,0,0,0,0,1,20180101,20191231
135538,0,0,0,0,0,0,1,20180101,20191231
135539,0,0,0,0,0,0,1,20180101,20191231
