trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
14743,1,14216,00:00:00,00:00:00,,0,0,
14743,2,14217,00:02:00,00:02:24,,0,0,
14743,3,14052,00:03:35,00:03:59,,0,0,
14743,4,14053,00:05:05,00:05:29,,0,0,
14743,5,14172,00:06:30,00:06:54,,0,0,
14743,6,14173,00:08:05,00:08:29,,0,0,
14743,7,14179,00:09:25,00:09:55,,0,0,
14743,8,14134,00:11:15,00:11:39,,0,0,
14743,9,14135,00:12:50,00:13:14,,0,0,
14743,10,14161,00:14:35,00:15:08,,0,0,
14743,11,14149,00:16:00,00:16:24,,0,0,
14743,12,42338,00:17:20,00:17:44,,0,0,
14743,13,14157,00:18:50,00:19:20,,0,0,
14743,14,14096,00:20:10,00:20:34,,0,0,
14743,15,14097,00:21:50,00:22:14,,0,0,
14743,16,14118,00:23:20,00:23:44,,0,0,
14743,17,14119,00:24:40,00:25:04,,0,0,
14743,18,14120,00:26:30,00:26:54,,0,0,
14743,19,14054,00:28:25,00:28:49,,0,0,
14743,20,14055,00:30:29,00:30:53,,0,0,
14840,1,14090,00:00:00,00:00:00,,0,0,
14840,2,14089,00:01:55,00:02:15,,0,0,
14840,3,14086,00:03:30,00:03:50,,0,0,
14840,4,14085,00:05:00,00:05:20,,0,0,
14840,5,14093,00:06:40,00:06:58,,0,0,
14840,6,14092,00:08:10,00:08:28,,0,0,
14840,7,14057,00:09:35,00:09:53,,0,0,
14840,8,14056,00:10:55,00:11:13,,0,0,
14840,9,14159,00:12:25,00:12:43,,0,0,
14840,10,14160,00:13:50,00:14:08,,0,0,
14840,11,14137,00:15:35,00:16:05,,0,0,
14840,12,14136,00:17:15,00:17:45,,0,0,
14840,13,14163,00:18:55,00:19:15,,0,0,
14840,14,14162,00:20:10,00:20:30,,0,0,
14840,15,14167,00:21:25,00:21:51,,0,0,
14840,16,14050,00:22:55,00:23:15,,0,0,
14840,17,14098,00:24:15,00:24:33,,0,0,
14840,18,14126,00:25:40,00:25:58,,0,0,
14840,19,14124,00:27:00,00:27:18,,0,0,
14840,20,14123,00:28:15,00:28:33,,0,0,
14840,21,14125,00:29:35,00:29:55,,0,0,
14840,22,14112,00:31:10,00:31:40,,0,0,
14840,23,14111,00:33:25,00:33:41,,0,0,
14840,24,14117,00:36:50,00:36:50,,0,0,
14841,1,14117,00:00:00,00:00:00,,0,0,
14841,2,14111,00:02:25,00:02:41,,0,0,
14841,3,14112,00:04:35,00:05:05,,0,0,
14841,4,14125,00:06:15,00:06:33,,0,0,
14841,5,14123,00:07:35,00:07:53,,0,0,
14841,6,14124,00:08:50,00:09:10,,0,0,
14841,7,14126,00:10:10,00:10:28,,0,0,
14841,8,14098,00:11:35,00:11:53,,0,0,
14841,9,14050,00:12:50,00:13:10,,0,0,
14841,10,14167,00:14:15,00:14:41,,0,0,
14841,11,14162,00:15:35,00:15:55,,0,0,
14841,12,14163,00:16:50,00:17:10,,0,0,
14841,13,14136,00:18:20,00:18:50,,0,0,
14841,14,14137,00:20:05,00:20:35,,0,0,
14841,15,14160,00:22:05,00:22:23,,0,0,
14841,16,14159,00:23:25,00:23:43,,0,0,
14841,17,14056,00:25:00,00:25:18,,0,0,
14841,18,14057,00:26:20,00:26:38,,0,0,
14841,19,14092,00:27:45,00:28:03,,0,0,
14841,20,14093,00:29:15,00:29:33,,0,0,
14841,21,14085,00:30:55,00:31:15,,0,0,
14841,22,14086,00:32:25,00:32:45,,0,0,
14841,23,14089,00:34:05,00:34:25,,0,0,
14841,24,14090,00:37:10,00:37:10,,0,0,
14842,1,14076,00:00:00,00:00:00,,0,0,
14842,2,14075,00:02:05,00:02:35,,0,0,
14842,3,14082,00:04:25,00:04:55,,0,0,
14842,4,14081,00:06:15,00:06:40,,0,0,
14842,5,14078,00:08:00,00:08:25,,0,0,
14842,6,14077,00:10:00,00:10:30,,0,0,
14842,7,14083,00:11:45,00:12:15,,0,0,
14842,8,14074,00:13:20,00:13:45,,0,0,
14842,9,14059,00:15:05,00:15:35,,0,0,
14842,10,14058,00:17:25,00:18:00,,0,0,
14842,11,14152,00:19:15,00:19:45,,0,0,
14842,12,14151,00:20:50,00:21:15,,0,0,
14842,13,14139,00:22:20,00:22:55,,0,0,
14842,14,14138,00:24:05,00:24:35,,0,0,
14842,15,14168,00:25:20,00:25:55,,0,0,
14842,16,14164,00:27:00,00:27:30,,0,0,
14842,17,14100,00:29:00,00:29:30,,0,0,
14842,18,14099,00:31:35,00:32:10,,0,0,
14842,19,14192,00:33:40,00:34:10,,0,0,
14842,20,14187,00:35:35,00:36:10,,0,0,
14842,21,14186,00:38:15,00:38:15,,0,0,
14843,1,14186,00:00:00,00:00:00,,0,0,
14843,2,14187,00:01:55,00:02:30,,0,0,
14843,3,14192,00:03:55,00:04:25,,0,0,
14843,4,14099,00:05:55,00:06:30,,0,0,
14843,5,14100,00:08:35,00:09:05,,0,0,
14843,6,14164,00:10:30,00:11:00,,0,0,
14843,7,14168,00:12:10,00:12:45,,0,0,
14843,8,14138,00:13:30,00:14:00,,0,0,
14843,9,14139,00:15:15,00:15:50,,0,0,
14843,10,14151,00:16:55,00:17:20,,0,0,
14843,11,14152,00:18:30,00:19:00,,0,0,
14843,12,14058,00:20:10,00:20:45,,0,0,
14843,13,14059,00:22:15,00:22:45,,0,0,
14843,14,14074,00:24:05,00:24:30,,0,0,
14843,15,14083,00:25:40,00:26:10,,0,0,
14843,16,14077,00:27:25,00:27:55,,0,0,
14843,17,14078,00:29:35,00:30:00,,0,0,
14843,18,14081,00:31:20,00:31:45,,0,0,
14843,19,14082,00:33:05,00:33:35,,0,0,
14843,20,14075,00:35:20,00:35:50,,0,0,
14843,21,14076,00:38:10,00:38:10,,0,0,
14844,1,14178,00:00:00,00:00:00,,0,0,
14844,2,14175,00:01:15,00:01:28,,0,0,
14844,3,14174,00:02:55,00:03:12,,0,0,
14844,4,42487,00:04:25,00:04:46,,0,0,
14844,5,14182,00:06:15,00:06:32,,0,0,
