trip_id,start_time,end_time,headway_secs,exact_times
L1-I-L-M01,06:00:00,07:00:00,150,0
L1-I-L-M02,07:00:00,09:00:00,103,0
L1-I-L-M03,09:00:00,18:00:00,164,0
L1-I-L-M04,18:00:00,20:00:00,103,0
L1-I-L-M05,20:00:00,21:00:00,129,0
L1-I-L-M06,21:00:00,23:00:00,257,0
L1-I-S-M07,07:00:00,23:00:00,235,0
L1-I-D-M08,08:00:00,23:00:00,360,0
L1-R-L-M01,06:00:00,07:00:00,150,0
L1-R-L-M02,07:00:00,09:00:00,103,0
L1-R-L-M03,09:00:00,18:00:00,164,0
L1-R-L-M04,18:00:00,20:00:00,103,0
L1-R-L-M05,20:00:00,20:45:00,129,0
L1-R-L-M06,20:45:00,23:00:00,257,0
L1-R-S-M07,07:00:00,23:00:00,235,0
L1-R-D-M08,08:00:00,23:00:00,360,0
L2R-I-L-M01,06:00:00,07:00:00,240,0
L2V-I-L-M01,06:00:00,07:00:00,240,0
L2R-I-L-M02,07:00:00,09:00:00,180,0
L2V-I-L-M02,07:00:00,09:00:00,180,0
L2-I-L-M03,09:00:00,18:00:00,257,0
L2R-I-L-M04,18:00:00,20:00:00,180,0
L2V-I-L-M04,18:00:00,20:00:00,180,0
L2R-I-L-M05,20:00:00,21:00:00,199,0
L2V-I-L-M05,20:00:00,21:00:00,199,0
L2-I-L-M06,21:00:00,23:00:00,300,0
L2-I-S-M07,07:00:00,23:00:00,280,0
L2-I-D-M08,08:00:00,23:00:00,375,0
L2R-R-L-M01,06:00:00,07:00:00,240,0
L2V-R-L-M01,06:00:00,07:00:00,240,0
L2R-R-L-M02,07:00:00,09:00:00,180,0
L2V-R-L-M02,07:00:00,09:00:00,180,0
L2-R-L-M03,09:00:00,18:00:00,257,0
L2R-R-L-M04,18:00:00,20:00:00,180,0
L2V-R-L-M04,18:00:00,20:00:00,180,0
L2R-R-L-M05,20:00:00,21:00:00,199,0
L2V-R-L-M05,20:00:00,21:00:00,199,0
L2-R-L-M06,21:00:00,23:00:00,300,0
L2-R-S-M07,07:00:00,23:00:00,280,0
L2-R-D-M08,08:00:00,23:00:00,375,0
L4R-I-L-M01,06:00:00,07:00:00,300,0
L4V-I-L-M01,06:00:00,07:00:00,300,0
L4R-I-L-M02,07:00:00,09:00:00,171,0
L4V-I-L-M02,07:00:00,09:00:00,171,0
L4-I-L-M03,09:00:00,18:00:00,327,0
L4R-I-L-M04,18:00:00,20:00:00,171,0
L4V-I-L-M04,18:00:00,20:00:00,171,0
L4R-I-L-M05,20:00:00,21:00:00,171,0
L4V-I-L-M05,20:00:00,21:00:00,171,0
L4-I-L-M06,21:00:00,23:00:00,257,0
L4-I-S-M07,07:00:00,23:00:00,280,0
L4-I-D-M08,08:00:00,23:00:00,450,0
L4R-R-L-M01,06:00:00,07:00:00,300,0
L4V-R-L-M01,06:00:00,07:00:00,300,0
L4R-R-L-M02,07:00:00,09:00:00,171,0
L4V-R-L-M02,07:00:00,09:00:00,171,0
L4-R-L-M03,09:00:00,18:00:00,327,0
L4R-R-L-M04,18:00:00,20:00:00,171,0
L4V-R-L-M04,18:00:00,20:00:00,171,0
L4R-R-L-M05,20:00:00,21:00:00,327,0
L4V-R-L-M05,20:00:00,21:00:00,327,0
L4-R-L-M06,21:00:00,23:00:00,257,0
L4-R-S-M07,07:00:00,23:00:00,280,0
L4-R-D-M08,08:00:00,23:00:00,450,0
L4A-I-L-M01,06:00:00,07:00:00,1200,0
L4A-I-L-M02,07:00:00,09:00:00,327,0
L4A-I-L-M03,09:00:00,18:00:00,327,0
L4A-I-L-M04,18:00:00,20:00:00,327,0
L4A-I-L-M05,20:00:00,20:45:00,327,0
L4A-I-L-M06,20:45:00,23:00:00,327,0
L4A-I-S-M07,07:00:00,23:00:00,327,0
L4A-I-D-M08,08:00:00,23:00:00,327,0
L4A-R-L-M01,06:00:00,07:00:00,1200,0
L4A-R-L-M02,07:00:00,09:00:00,327,0
L4A-R-L-M03,09:00:00,18:00:00,327,0
L4A-R-L-M04,18:00:00,20:00:00,327,0
L4A-R-L-M05,20:00:00,20:45:00,327,0
L4A-R-L-M06,20:45:00,23:00:00,327,0
L4A-R-S-M07,07:00:00,23:00:00,327,0
L4A-R-D-M08,08:00:00,23:00:00,327,0
L5R-I-L-M01,06:00:00,07:00:00,200,0
L5V-I-L-M01,06:00:00,07:00:00,200,0
L5R-I-L-M02,07:00:00,09:00:00,164,0
L5V-I-L-M02,07:00:00,09:00:00,164,0
L5-I-L-M03,09:00:00,18:00:00,240,0
L5R-I-L-M04,18:00:00,20:00:00,157,0
L5V-I-L-M04,18:00:00,20:00:00,157,0
L5R-I-L-M05,20:00:00,21:00:00,157,0
L5V-I-L-M05,20:00:00,21:00:00,157,0
L5-I-L-M06,21:00:00,23:00:00,240,0
L5-I-S-M07,07:00:00,23:00:00,280,0
L5-I-D-M08,08:00:00,23:00:00,380,0
L5R-R-L-M01,06:00:00,07:00:00,200,0
L5V-R-L-M01,06:00:00,07:00:00,200,0
L5R-R-L-M02,07:00:00,09:00:00,164,0
L5V-R-L-M02,07:00:00,09:00:00,164,0
L5-R-L-M03,09:00:00,18:00:00,240,0
L5R-R-L-M04,18:00:00,20:00:00,157,0
L5V-R-L-M04,18:00:00,20:00:00,157,0
L5R-R-L-M05,20:00:00,21:00:00,157,0
L5V-R-L-M05,20:00:00,21:00:00,157,0
L5-R-L-M06,21:00:00,23:00:00,240,0
L5-R-S-M07,07:00:00,23:00:00,280,0
L5-R-D-M08,08:00:00,23:00:00,380,0
L6-I-L-M01,06:00:00,07:00:00,360,0
L6-I-L-M02,07:00:00,09:00:00,277,0
L6-I-L-M03,09:00:00,18:00:00,400,0
L6-I-L-M04,18:00:00,20:00:00,257,0
L6-I-L-M05,20:00:00,21:00:00,327,0
L6-I-L-M06,21:00:00,23:00:00,400,0
L6-I-S-M07,07:00:00,23:00:00,400,0
L6-I-D-M08,08:00:00,23:00:00,450,0
L6-R-L-M01,06:00:00,07:00:00,360,0
L6-R-L-M02,07:00:00,09:00:00,277,0
L6-R-L-M03,09:00:00,18:00:00,400,0
L6-R-L-M04,18:00:00,20:00:00,257,0
L6-R-L-M05,20:00:00,21:00:00,327,0
L6-R-L-M06,21:00:00,23:00:00,400,0
L6-R-S-M07,07:00:00,23:00:00,400,0
L6-R-D-M08,08:00:00,23:00:00,450,0
L3-I-L-M01,06:00:00,07:00:00,327,0
L3-I-L-M02,07:00:00,09:00:00,257,0
L3-I-L-M03,09:00:00,14:00:00,327,0
L3-I-L-M04,14:00:00,18:00:00,327,0
L3-I-L-M05,18:00:00,20:00:00,257,0
L3-I-L-M06,20:00:00,20:45:00,300,0
L3-I-L-M07,20:45:00,23:00:00,327,0
L3-I-S-M08,07:00:00,23:00:00,327,0
L3-I-D-M09,08:00:00,23:00:00,400,0
L3-R-L-M01,06:00:00,07:00:00,327,0
L3-R-L-M02,07:00:00,09:00:00,257,0
L3-R-L-M03,09:00:00,14:00:00,327,0
L3-R-L-M04,14:00:00,18:00:00,327,0
L3-R-L-M05,18:00:00,20:00:00,257,0
L3-R-L-M06,20:00:00,20:45:00,300,0
L3-R-L-M07,20:45:00,23:00:00,327,0
L3-R-S-M08,07:00:00,23:00:00,327,0
L3-R-D-M09,08:00:00,23:00:00,400,0
