shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,line_id
L4A-R,-33.537381,-70.664368,0,L4A
L4A-R,-33.539431,-70.654744,1,L4A
L4A-R,-33.541213,-70.643696,2,L4A
L4A-R,-33.542193,-70.636835,3,L4A
L4A-R,-33.542549,-70.634162,4,L4A
L4A-R,-33.543084,-70.629083,5,L4A
L4A-R,-33.541926,-70.619994,6,L4A
L4A-R,-33.541124,-70.616074,7,L4A
L4A-R,-33.540767,-70.612866,8,L4A
L4A-R,-33.539609,-70.610817,9,L4A
L4A-R,-33.531055,-70.605471,10,L4A
L4A-R,-33.525709,-70.602085,11,L4A
L4A-R,-33.523927,-70.600124,12,L4A
L4A-R,-33.522501,-70.598075,13,L4A
L4A-R,-33.519561,-70.596026,14,L4A
L2V-R,-33.583604,-70.676959,0,L2
L2V-R,-33.581032,-70.676248,1,L2
L2V-R,-33.577184,-70.67513,2,L2
L2V-R,-33.574561,-70.674379,3,L2
L2V-R,-33.572597,-70.673881,4,L2
L2V-R,-33.571109,-70.673484,5,L2
L2V-R,-33.569873,-70.673127,6,L2
L2V-R,-33.566095,-70.672085,7,L2
L2V-R,-33.562163,-70.671007,8,L2
L2V-R,-33.560623,-70.670558,9,L2
L2V-R,-33.55759,-70.669684,10,L2
L2V-R,-33.553499,-70.668521,11,L2
L2V-R,-33.551382,-70.667955,12,L2
L2V-R,-33.548608,-70.667239,13,L2
L2V-R,-33.542245,-70.66558,14,L2
L2V-R,-33.537459,-70.664305,15,L2
L2V-R,-33.530153,-70.662434,16,L2
L2V-R,-33.526499,-70.661543,17,L2
L2V-R,-33.520975,-70.65985,18,L2
L2V-R,-33.517143,-70.65887,19,L2
L2V-R,-33.512421,-70.657444,20,L2
L2V-R,-33.510104,-70.656999,21,L2
L2V-R,-33.505917,-70.655662,22,L2
L2V-R,-33.502441,-70.654771,23,L2
L2V-R,-33.499323,-70.653702,24,L2
L2V-R,-33.497274,-70.653167,25,L2
L2V-R,-33.492997,-70.65192,26,L2
L2V-R,-33.488809,-70.651029,27,L2
