trip_id,arrival_time,departure_time,stop_id,stop_sequence
L1-I-L-M01,00:00:00,00:00:42,91,0
L1-I-L-M01,00:01:03,00:01:23,60,1
L1-I-L-M01,00:02:44,00:03:04,67,2
L1-I-L-M01,00:04:06,00:04:26,50,3
L1-I-L-M01,00:05:25,00:05:44,23,4
L1-I-L-M01,00:06:44,00:07:03,2,5
L1-I-L-M01,00:07:57,00:08:16,97,6
L1-I-L-M01,00:09:16,00:09:41,26,7
L1-I-L-M01,00:10:30,00:10:49,38,8
L1-I-L-M01,00:11:49,00:12:09,83,9
L1-I-L-M01,00:13:04,00:13:34,44,10
L1-I-L-M01,00:14:26,00:14:46,46,11
L1-I-L-M01,00:15:32,00:15:57,15,12
L1-I-L-M01,00:16:49,00:17:09,89,13
L1-I-L-M01,00:18:04,00:18:24,96,14
L1-I-L-M01,00:19:18,00:19:48,6,15
L1-I-L-M01,00:20:58,00:21:18,85,16
L1-I-L-M01,00:22:21,00:22:41,57,17
L1-I-L-M01,00:23:41,00:24:01,74,18
L1-I-L-M01,00:24:58,00:25:23,41,19
L1-I-L-M01,00:26:23,00:26:53,93,20
L1-I-L-M01,00:27:49,00:28:09,32,21
L1-I-L-M01,00:29:06,00:29:26,3,22
L1-I-L-M01,00:30:25,00:30:45,27,23
L1-I-L-M01,00:32:19,00:32:44,58,24
L1-I-L-M01,00:34:14,00:34:34,33,25
L1-I-L-M01,00:36:00,00:36:40,40,26
L1-I-L-M02,00:00:00,00:00:42,91,0
L1-I-L-M02,00:01:03,00:01:23,60,1
L1-I-L-M02,00:02:44,00:03:04,67,2
L1-I-L-M02,00:04:06,00:04:26,50,3
L1-I-L-M02,00:05:25,00:05:44,23,4
L1-I-L-M02,00:06:44,00:07:03,2,5
L1-I-L-M02,00:07:57,00:08:16,97,6
L1-I-L-M02,00:09:16,00:09:41,26,7
L1-I-L-M02,00:10:30,00:10:49,38,8
L1-I-L-M02,00:11:49,00:12:09,83,9
L1-I-L-M02,00:13:04,00:13:34,44,10
L1-I-L-M02,00:14:26,00:14:46,46,11
L1-I-L-M02,00:15:32,00:15:57,15,12
L1-I-L-M02,00:16:49,00:17:09,89,13
L1-I-L-M02,00:18:04,00:18:24,96,14
L1-I-L-M02,00:19:18,00:19:48,6,15
L1-I-L-M02,00:20:58,00:21:18,85,16
L1-I-L-M02,00:22:21,00:22:41,57,17
L1-I-L-M02,00:23:41,00:24:01,74,18
L1-I-L-M02,00:24:58,00:25:23,41,19
L1-I-L-M02,00:26:23,00:26:53,93,20
L1-I-L-M02,00:27:49,00:28:09,32,21
L1-I-L-M02,00:29:06,00:29:26,3,22
L1-I-L-M02,00:30:25,00:30:45,27,23
L1-I-L-M02,00:32:19,00:32:44,58,24
L1-I-L-M02,00:34:14,00:34:34,33,25
L1-I-L-M02,00:36:00,00:36:40,40,26
L1-I-L-M03,00:00:00,00:00:42,91,0
L1-I-L-M03,00:01:03,00:01:23,60,1
L1-I-L-M03,00:02:44,00:03:04,67,2
L1-I-L-M03,00:04:06,00:04:26,50,3
L1-I-L-M03,00:05:25,00:05:44,23,4
L1-I-L-M03,00:06:44,00:07:03,2,5
L1-I-L-M03,00:07:57,00:08:16,97,6
L1-I-L-M03,00:09:16,00:09:41,26,7
L1-I-L-M03,00:10:30,00:10:49,38,8
L1-I-L-M03,00:11:49,00:12:09,83,9
L1-I-L-M03,00:13:04,00:13:34,44,10
L1-I-L-M03,00:14:26,00:14:46,46,11
L1-I-L-M03,00:15:32,00:15:57,15,12
L1-I-L-M03,00:16:49,00:17:09,89,13
