route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
L1,D,L1-I-D-M08,Los Domínicos,0,L1-I
L1,L,L1-I-L-M01,Los Domínicos,0,L1-I
L1,L,L1-I-L-M02,Los Domínicos,0,L1-I
L1,L,L1-I-L-M03,Los Domínicos,0,L1-I
L1,L,L1-I-L-M04,Los Domínicos,0,L1-I
L1,L,L1-I-L-M05,Los Domínicos,0,L1-I
L1,L,L1-I-L-M06,Los Domínicos,0,L1-I
L1,S,L1-I-S-M07,Los Domínicos,0,L1-I
L1,D,L1-R-D-M08,San Pablo,1,L1-R
L1,L,L1-R-L-M01,San Pablo,1,L1-R
L1,L,L1-R-L-M02,San Pablo,1,L1-R
L1,L,L1-R-L-M03,San Pablo,1,L1-R
L1,L,L1-R-L-M04,San Pablo,1,L1-R
L1,L,L1-R-L-M05,San Pablo,1,L1-R
L1,L,L1-R-L-M06,San Pablo,1,L1-R
L1,S,L1-R-S-M07,San Pablo,1,L1-R
L2,D,L2-I-D-M08,Hospital El Pino,0,L2-I
L2R,L,L2R-I-L-M01,Hospital El Pino,0,L2R-I
L2V,L,L2V-I-L-M01,Hospital El Pino,0,L2V-I
L2R,L,L2R-I-L-M02,Hospital El Pino,0,L2R-I
L2V,L,L2V-I-L-M02,Hospital El Pino,0,L2V-I
L2,L,L2-I-L-M03,Hospital El Pino,0,L2-I
L2R,L,L2R-I-L-M04,Hospital El Pino,0,L2R-I
L2V,L,L2V-I-L-M04,Hospital El Pino,0,L2V-I
L2R,L,L2R-I-L-M05,Hospital El Pino,0,L2R-I
L2V,L,L2V-I-L-M05,Hospital El Pino,0,L2V-I
L2,L,L2-I-L-M06,Hospital El Pino,0,L2-I
L2,S,L2-I-S-M07,Hospital El Pino,0,L2-I
L2,D,L2-R-D-M08,Vespucio Norte,1,L2-R
L2R,L,L2R-R-L-M01,Vespucio Norte,1,L2R-R
L2V,L,L2V-R-L-M01,Vespucio Norte,1,L2V-R
L2R,L,L2R-R-L-M02,Vespucio Norte,1,L2R-R
L2V,L,L2V-R-L-M02,Vespucio Norte,1,L2V-R
L2,L,L2-R-L-M03,Vespucio Norte,1,L2-R
L2R,L,L2R-R-L-M04,Vespucio Norte,1,L2R-R
L2V,L,L2V-R-L-M04,Vespucio Norte,1,L2V-R
L2R,L,L2R-R-L-M05,Vespucio Norte,1,L2R-R
L2V,L,L2V-R-L-M05,Vespucio Norte,1,L2V-R
L2,L,L2-R-L-M06,Vespucio Norte,1,L2-R
L2,S,L2-R-S-M07,Vespucio Norte,1,L2-R
L3,L,L3-I-L-M01,Fernando Castillo Velasco,0,L3-I
L3,L,L3-I-L-M02,Fernando Castillo Velasco,0,L3-I
L3,L,L3-I-L-M03,Fernando Castillo Velasco,0,L3-I
L3,L,L3-I-L-M04,Fernando Castillo Velasco,0,L3-I
